"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","0.2933","0.2953","0.2955","0.2933","","-0.64%"
"09/01/2025","0.2952","0.2967","0.2967","0.2951","","-0.51%"
"08/01/2025","0.2967","0.3056","0.3057","0.2939","","-2.91%"
"07/01/2025","0.3056","0.3056","0.3057","0.3056","","0.00%"
"06/01/2025","0.3056","0.3056","0.3064","0.3056","","0.00%"
"05/01/2025","0.3056","0.3056","0.3059","0.3056","","0.00%"
"04/01/2025","0.3056","0.3056","0.3058","0.3056","","0.00%"
"03/01/2025","0.3056","0.3056","0.3058","0.3056","","0.00%"
"02/01/2025","0.3056","0.3056","0.3059","0.3056","","0.00%"
"01/01/2025","0.3056","0.3056","0.3064","0.3056","","0.20%"
"12/01/2024","0.3050","0.3058","0.3059","0.3056","","0.00%"
"11/01/2024","0.3050","0.3056","0.3059","0.3056","","0.03%"
"10/01/2024","0.3049","0.3056","0.3059","0.3056","","-0.03%"
"09/01/2024","0.3050","0.3056","0.3059","0.3056","","-0.03%"
"08/01/2024","0.3051","0.3056","0.3081","0.3056","","0.03%"
"07/01/2024","0.3050","0.3056","0.3059","0.3055","","-0.03%"
"06/01/2024","0.3051","0.3056","0.3064","0.3056","","0.03%"
"05/01/2024","0.3050","0.3056","0.3059","0.3056","","0.00%"
"04/01/2024","0.3050","0.3056","0.3068","0.3056","","0.00%"
"03/01/2024","0.3050","0.3056","0.3068","0.3035","","0.00%"
"02/01/2024","0.3050","0.3056","0.3067","0.3035","","0.00%"
"01/01/2024","0.3050","0.3147","0.3151","0.3023","","0.89%"
"12/01/2023","0.3023","0.3035","0.3147","0.3016","","-0.20%"
"11/01/2023","0.3029","0.3035","0.3059","0.3022","","0.00%"
"10/01/2023","0.3029","0.3038","0.3045","0.3020","","0.10%"
"09/01/2023","0.3026","0.3961","0.4017","0.3022","","-23.43%"
"08/01/2023","0.3952","0.3961","0.4008","0.3961","","0.00%"
"07/01/2023","0.3952","0.3961","0.4008","0.3961","","0.00%"
"06/01/2023","0.3952","0.3961","0.4008","0.3961","","0.00%"
"05/01/2023","0.3952","0.3961","0.4017","0.3961","","0.00%"
"04/01/2023","0.3952","0.3961","0.4017","0.3954","","0.00%"
"03/01/2023","0.3952","0.3961","0.4017","0.3954","","0.00%"
"02/01/2023","0.3952","0.3961","0.4017","0.3961","","0.03%"
"01/01/2023","0.3951","0.3961","0.4008","0.3961","","-1.25%"
"12/01/2022","0.4001","0.3959","0.4008","0.3946","","1.32%"
"11/01/2022","0.3949","0.3961","0.4124","0.3937","","-0.05%"
"10/01/2022","0.3951","0.3942","0.3984","0.3899","","0.48%"
"09/01/2022","0.3932","0.3961","0.3984","0.3937","","-0.48%"
"08/01/2022","0.3951","0.3961","0.3977","0.3954","","-0.03%"
"07/01/2022","0.3952","0.2962","0.3994","0.2962","","33.40%"
"06/01/2022","0.2962","0.2962","0.2965","0.2958","","0.00%"
"05/01/2022","0.2962","0.2973","0.3018","0.2953","","-0.37%"
"04/01/2022","0.2973","0.3067","0.3067","0.2951","","-3.03%"
"03/01/2022","0.3066","0.3349","0.3349","0.2893","","-4.62%"
"02/01/2022","0.3214","0.3860","0.3917","0.3214","","-16.27%"
"01/01/2022","0.3839","0.3911","0.3922","0.3814","","-1.39%"
"12/01/2021","0.3893","0.3929","0.3982","0.3901","","-0.71%"
"11/01/2021","0.3921","0.4128","0.4128","0.3888","","-4.41%"
"10/01/2021","0.4102","0.3984","0.4150","0.3973","","3.01%"
"09/01/2021","0.3982","0.3970","0.4033","0.3966","","-0.20%"
"08/01/2021","0.3990","0.4000","0.4019","0.3950","","-0.23%"
"07/01/2021","0.3999","0.3942","0.4011","0.3847","","1.65%"
"06/01/2021","0.3934","0.3950","0.4038","0.3926","","-0.35%"
"05/01/2021","0.3948","0.3900","0.4002","0.3884","","1.33%"
"04/01/2021","0.3896","0.3810","0.3925","0.3722","","2.34%"
"03/01/2021","0.3807","0.3847","0.3871","0.3783","","-0.83%"
"02/01/2021","0.3839","0.3814","0.3897","0.3776","","0.81%"
"01/01/2021","0.3808","0.3824","0.3954","0.3801","","0.08%"
"12/01/2020","0.3805","0.3857","0.3995","0.3827","","-1.09%"
"11/01/2020","0.3847","0.3780","0.3933","0.3746","","1.18%"
"10/01/2020","0.3802","0.3836","0.3954","0.3785","","-0.73%"
"09/01/2020","0.3830","0.3771","0.3905","0.3739","","2.02%"
"08/01/2020","0.3754","0.4068","0.4121","0.3732","","-7.70%"
"07/01/2020","0.4067","0.4126","0.4203","0.4072","","-1.29%"
"06/01/2020","0.4120","0.4152","0.4239","0.4118","","-0.39%"
"05/01/2020","0.4136","0.4129","0.4203","0.4048","","0.90%"
"04/01/2020","0.4099","0.3870","0.4162","0.3828","","6.14%"
"03/01/2020","0.3862","0.4486","0.4500","0.3767","","-13.08%"
"02/01/2020","0.4443","0.4658","0.4676","0.4435","","-4.62%"
"01/01/2020","0.4658","0.4744","0.4757","0.4656","","-1.81%"
"12/01/2019","0.4744","0.4736","0.4800","0.4706","","0.42%"
"11/01/2019","0.4724","0.4859","0.4915","0.4695","","-2.68%"
"10/01/2019","0.4854","0.4811","0.4922","0.4776","","1.04%"
"09/01/2019","0.4804","0.4766","0.4917","0.4699","","0.88%"
"08/01/2019","0.4762","0.4918","0.4929","0.4753","","-3.03%"
"07/01/2019","0.4911","0.4900","0.4959","0.4860","","0.64%"
"06/01/2019","0.4880","0.4762","0.4931","0.4747","","2.50%"
"05/01/2019","0.4761","0.4742","0.4830","0.4710","","0.53%"
"04/01/2019","0.4736","0.4679","0.4797","0.4647","","1.11%"
"03/01/2019","0.4684","0.4671","0.4784","0.4652","","0.39%"
"02/01/2019","0.4666","0.4652","0.4692","0.4593","","0.41%"
"01/01/2019","0.4647","0.4617","0.4663","0.4575","","0.85%"
"12/01/2018","0.4608","0.4682","0.4733","0.4621","","-1.43%"
"11/01/2018","0.4675","0.4710","0.4771","0.4640","","-0.62%"
"10/01/2018","0.4704","0.4733","0.4778","0.4618","","-0.32%"
"09/01/2018","0.4719","0.4798","0.4822","0.4590","","-1.38%"
"08/01/2018","0.4785","0.5027","0.5069","0.4787","","-4.68%"
"07/01/2018","0.5020","0.5026","0.5106","0.4987","","-0.08%"
"06/01/2018","0.5024","0.4959","0.5042","0.4947","","1.54%"
"05/01/2018","0.4948","0.5000","0.5042","0.4919","","-0.54%"
"04/01/2018","0.4975","0.5128","0.5141","0.4775","","-3.06%"
"03/01/2018","0.5132","0.5107","0.5149","0.5065","","0.61%"
"02/01/2018","0.5101","0.5044","0.5136","0.4983","","1.23%"
"01/01/2018","0.5039","0.5044","0.5085","0.4945","","-0.45%"
"12/01/2017","0.5062","0.4970","0.5091","0.4892","","2.02%"
"11/01/2017","0.4962","0.5064","0.5074","0.4958","","-1.88%"
"10/01/2017","0.5057","0.5094","0.5156","0.5019","","-0.96%"
"09/01/2017","0.5106","0.5193","0.5277","0.5070","","-1.50%"
"08/01/2017","0.5184","0.5165","0.5213","0.5107","","0.52%"
"07/01/2017","0.5157","0.5148","0.5177","0.5039","","0.17%"
"06/01/2017","0.5148","0.5367","0.5407","0.5142","","-3.96%"
"05/01/2017","0.5360","0.5349","0.5445","0.5263","","0.45%"
"04/01/2017","0.5336","0.5339","0.5368","0.5240","","0.21%"
"03/01/2017","0.5325","0.5284","0.5379","0.5185","","0.70%"
"02/01/2017","0.5288","0.5163","0.5385","0.5121","","2.38%"
"01/01/2017","0.5165","0.5102","0.5225","0.5063","","1.33%"